Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Chief Information Officer,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,14,Yes,"10,000 - 25,000 employees",Artificial Intelligence (AI),Privately Held Company,Chief Information Officer,USD (U.S. Dollar),370000,100000,300000,770000,"AI Data Protection / Privacy and Security,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",31,At least annually,Yes,"$140,000","$140,000",No,Corporate Indemnification Policy,No,No,No,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Insider threats",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CIO,Rippling
Chief Information Officer,CIO,Male,"Minneapolis, MN, USA",Minneapolis,North America,60,Yes,1000 - 4999 employees,Insurance,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),300500,78000,"$345,000",723500,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",43,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",No,Third-party/vendor AI risk management,Developing but inconsistent,2,Shadow AI,"AI-generated content being used in social engineering attacks,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Identity/credential theft",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,SHI International
Chief Information Officer,CIO,Male,"Chicago, IL, USA",Chicago,North America,8,Yes,"25,000+ employees",Artificial Intelligence (AI),Privately Held Company,Chief Information Officer,USD (U.S. Dollar),525000,"$105,000","$960,000",1590000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",48,At least semi-annually,No,,,No,"Corporate Indemnification Policy,Corporate Directors & Officers (D&O) Policy",No,No,Yes,No,"Business Impact,Financial and/or Risk-Based Metrics",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,6,Aligning AI security with enterprise risk management frameworks,"Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Identity/credential theft,Other,Phishing/social engineering",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,Evolent Health
Chief Information Officer,CIO,Female,"Washington, DC, USA",DMV,North America,48,No,"10,000 - 25,000 employees",Manufacturing,Privately Held Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),325000,"$160,000",300000,785000,"AI Data Protection / Privacy and Security,AI Safety & Reliability,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",70,At least quarterly,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Developing but inconsistent,3,Establishing regulatory compliance and auditability for AI systems,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches",EU AI Act requirements (compliance-driven),"IoT/OT device vulnerabilities,Mobile / BYOD threats,Third party risk attacks",Very confident,Time spent screening unqualified candidates,Already have a dedicated AI Security leader in place,Synthetic,CIO,ThreatConnect
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,17,Yes,< 250 employees,Banking / Financial Services,Privately Held Company,CEO,USD (U.S. Dollar),340000,70000,"$105,000",515000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",1,At least quarterly,No,,,No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Other,Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Identity/credential theft,Mobile / BYOD threats,Ransomware,Zero-day exploits",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,Wiz
Chief Information Officer,CIO,Male,"Salt Lake City, UT, USA",Salt Lake City,North America,30,No,"5000 - 9,999 employees",HealthTech,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),380000,80550,"$305,000",765550,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Third Party Risk Management (TPRM)",7,I do not report to the Board of Directors,No,,,No,Not Sure,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",Yes,Third-party/vendor AI risk management,Initial / ad hoc efforts,1,Defining clear accountability/ownership for AI risk across the business,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Insider threats",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,I am the AI Security leader,Synthetic,CIO,World Wide Technology
Chief Information Officer,CIO,Male,"Raleigh, NC, USA",Raleigh - Durham,North America,7,No,250 - 499 employees,FinTech,Privately Held Company,CEO,USD (U.S. Dollar),480000,"$44,000","$250,000",774000,"AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",5,At least quarterly,Yes,"$35,000","$35,000",No,Neither,No,No,No,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"API security,Cloud misconfigurations,Phishing/social engineering",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CIO,Medidata
Chief Information Officer,CIO,Male,"Philadelphia, PA, USA",Philadelphia,North America,55,Yes,250 - 499 employees,Enterprise Software,Privately Held Company,CEO,USD (U.S. Dollar),290000,"$28,000","$250,000",568000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Other,Physical Security / Executive Protection,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",1,At least semi-annually,Yes,"$50,000","$50,000",No,Not Sure,No,No,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,0,Managing third-party/vendor AI risk,Intellectual property theft through AI platforms,"ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","Identity/credential theft,Mobile / BYOD threats,Phishing/social engineering,Zero-day exploits",Not confident,Competing with salary expectations in the market,I am the AI Security leader,Synthetic,CIO,ReliaQuest
Chief Information Officer,CIO,Male,"Kansas City, MO, USA",Kansas City,North America,5,No,1000 - 4999 employees,Retail,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),385000,"$37,000","$250,000",672000,"AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",36,At least semi-annually,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Phishing/social engineering,Third party risk attacks",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CIO,Outreach
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,10,No,250 - 499 employees,Cloud Security,Privately Held Company,CEO,USD (U.S. Dollar),350000,"$58,000","$250,000",658000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",1,I do not report to the Board of Directors,No,,,No,Neither,No,No,No,Yes (Cash and / or Equity),Attack Surface / Risk Assessment,Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,1,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",None at this time,"Cloud misconfigurations,Identity/credential theft,Insider threats,Third party risk attacks",Somewhat confident,"Lack of alignment on the role requirements,Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",No,Synthetic,CIO,Privia Health
Chief Information Officer,CIO,Male,"Miami, FL, USA",Miami,North America,55,No,1000 - 4999 employees,FinTech,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),445000,"$79,000","$996,000",1520000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Security Operations,Third Party Risk Management (TPRM)",5,Per request,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Percentage of company revenue",No,Monitoring and detection for AI-driven threats,Established and repeatable,1,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"Other,Ransomware",Very confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",No,Synthetic,CIO,Spotnana
Chief Information Officer,CIO,Male,"San Diego, CA, USA",San Diego,North America,107,Yes,1000 - 4999 employees,Banking / Financial Services,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),420000,80000,"$740,000",1240000,"AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Privacy,Security Operations,Third Party Risk Management (TPRM)",2,I do not report to the Board of Directors,No,,,No,Neither,No,Yes,Yes,No,"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,6,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,Identity/credential theft,Insider threats,Third party risk attacks",Don't Know / Not applicable,"Other,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Acrisure
Chief Information Officer,CIO,Male,"San Diego, CA, USA",San Diego,North America,12,Yes,"5000 - 9,999 employees",Big Data / Analytics,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),315000,"$79,000",200000,594000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations",24,At least semi-annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,IoT/OT device vulnerabilities,Other,Third party risk attacks",Not confident,"Competing with salary expectations in the market,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CIO,Medidata
Chief Information Officer,CIO,Male,"Raleigh, NC, USA",Raleigh - Durham,North America,49,Yes,1000 - 4999 employees,FinTech,Privately Held Company,COO / President,USD (U.S. Dollar),370000,"$116,000",225000,711000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",180,Per request,No,,,No,Not Sure,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms,Shadow AI usage bypassing security controls","Internal / proprietary AI risk framework,None at this time","Other,Phishing/social engineering",Not confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CIO,Resilience Cyber Insurance
Chief Information Officer,CIO,Male,"Seattle, WA, USA",Seattle,North America,71,Yes,1000 - 4999 employees,Enterprise Software,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),345000,"$37,000",125000,507000,"AI Data Protection / Privacy and Security,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations",14,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,10,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms,Shadow AI usage bypassing security controls",ISO/IEC 23894 (AI Risk Management),"API security,Cloud misconfigurations,Identity/credential theft,Phishing/social engineering,Ransomware",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,SalesLoft
Chief Information Officer,CIO,Male,"Tulsa, OK, USA",Tulsa,North America,58,Yes,< 250 employees,Enterprise Software,Privately Held Company,CEO,USD (U.S. Dollar),370000,"$222,000",,592000,"AI Data Protection / Privacy and Security,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Incident Response,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",4,At least quarterly,Yes,"$100,000","$100,000",No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,4,Defining clear accountability/ownership for AI risk across the business,"Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","Cloud misconfigurations,Phishing/social engineering",Very confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Recorded Future
Chief Information Officer,CIO,Male,"Baltimore, MD, USA",Baltimore,North America,6,No,< 250 employees,Cloud Security,Privately Held Company,CEO,USD (U.S. Dollar),310000,"$16,000","$154,000",480000,"AI Data Protection / Privacy and Security,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,GRC,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Privacy,Security Operations,Third Party Risk Management (TPRM)",32,At least semi-annually,No,,,No,Neither,No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,15,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","NIST AI Risk Management Framework (AI RMF),Other","AI-enhanced attacks,Identity/credential theft,Phishing/social engineering,Third party risk attacks",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CIO,Hub International
Chief Information Officer,CIO,Male,Remote,Remote,North America,60,Yes,"10,000 - 25,000 employees",Manufacturing,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),565000,"$392,000","$23,000",980000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",53,At least semi-annually,No,,,No,Neither,Yes,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Shadow AI,Integration with critical systems creating attack vectors,OECD AI Principles / other international guidelines,"Cloud misconfigurations,Third party risk attacks",Not confident,Location (RTO) constraints limiting hiring,No,Synthetic,CIO,Medidata
Chief Information Officer,CIO,Male,"Greensboro, NC, USA",Greensboro,North America,36,No,1000 - 4999 employees,Retail,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),315000,,"$145,000",460000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM)",5,At least quarterly,Yes,"$100,000","$100,000",Yes,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",Yes,Third-party/vendor AI risk management,Established and repeatable,15,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",EU AI Act requirements (compliance-driven),"AI-enhanced attacks,Identity/credential theft,Insider threats,Mobile / BYOD threats,Phishing/social engineering",Very confident,"Lack of alignment on the role requirements,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,Medidata
Chief Information Officer,CIO,Male,"Greensboro, NC, USA",Greensboro,North America,66,No,"10,000 - 25,000 employees",FinTech,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),325000,"$51,000","$145,000",521000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM)",6,At least semi-annually,No,,,No,Neither,No,No,No,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Other",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,0,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","API security,Third party risk attacks",Very confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CIO,LogRhythm
Chief Information Officer,CIO,Male,"Nashville, TN, USA",Nashville,North America,4,Yes,"10,000 - 25,000 employees",Education,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),320000,"$47,000",,367000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Third Party Risk Management (TPRM)",288,At least quarterly,No,,,No,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Established and repeatable,10,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Regulatory compliance violations,Shadow AI usage bypassing security controls","NIST AI Risk Management Framework (AI RMF),OECD AI Principles / other international guidelines","Identity/credential theft,Insider threats,Ransomware,Third party risk attacks,Zero-day exploits",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CIO,Outreach
Chief Information Officer,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,53,Yes,"25,000+ employees",Professional Services,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),370000,"$110,000",,480000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Enterprise Risk,Identity & Access Management / IAM,Other,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",84,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Developing but inconsistent,0,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",EU AI Act requirements (compliance-driven),"Identity/credential theft,Third party risk attacks",Not confident,Uncertainty in defining the right skills and profile for the role,No,Synthetic,CIO,Anomali
Chief Information Officer,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,61,Yes,"10,000 - 25,000 employees",Utilities,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),400000,"$153,000",,553000,"AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",360,Per request,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,10,Aligning AI security with enterprise risk management frameworks,"AI decision-making in security tools creating blind spots,Shadow AI usage bypassing security controls",None at this time,"Identity/credential theft,Ransomware",Not confident,Uncertainty in defining the right skills and profile for the role,No,Synthetic,CIO,Lockton
Chief Information Officer,CIO,Male,"Salt Lake City, UT, USA",Salt Lake City,North America,20,Yes,"10,000 - 25,000 employees",Education,Privately Held Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),335000,77000,"$660,000",1072000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Security Operations,Third Party Risk Management (TPRM)",96,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Established and repeatable,6,Shadow AI,Shadow AI usage bypassing security controls,EU AI Act requirements (compliance-driven),"AI-enhanced attacks,API security,Other,Phishing/social engineering,Ransomware",Don't Know / Not applicable,Location (RTO) constraints limiting hiring,Yes,Synthetic,CIO,SHI International
Chief Information Officer,CIO,Female,"New York, NY, USA",NYC Metro,North America,72,No,250 - 499 employees,Healthcare,Privately Held Company,CEO,USD (U.S. Dollar),315000,"$78,000",280000,673000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations",4,At least quarterly,No,,,Yes,Corporate Indemnification Policy,No,No,Yes,No,"Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,2,Aligning AI security with enterprise risk management frameworks,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Phishing/social engineering",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,CIO,Lockton
