Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Chief Information Officer,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,61,Yes,"10,000 - 25,000 employees",Utilities,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),"$574,348","$359,397","$228,615","$1,162,360","AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",360,Per request,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,10,Aligning AI security with enterprise risk management frameworks,"AI decision-making in security tools creating blind spots,Shadow AI usage bypassing security controls",None at this time,"Identity/credential theft,Ransomware",Not confident,Uncertainty in defining the right skills and profile for the role,No,Synthetic,CIO,Lockton
Chief Information Officer,CIO,Male,"Salt Lake City, UT, USA",Salt Lake City,North America,20,Yes,"10,000 - 25,000 employees",Education,Privately Held Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),"$542,081","$146,689","$1,490,397","$2,179,167","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Security Operations,Third Party Risk Management (TPRM)",96,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Established and repeatable,6,Shadow AI,Shadow AI usage bypassing security controls,EU AI Act requirements (compliance-driven),"AI-enhanced attacks,API security,Other,Phishing/social engineering,Ransomware",Don't Know / Not applicable,Location (RTO) constraints limiting hiring,Yes,Synthetic,CIO,SHI International
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,48,Yes,"10,000 - 25,000 employees",Banking / Financial Services,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),"$640,182","$171,107","$827,600","$1,638,889","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",13,I do not report to the Board of Directors,Yes,"$20,000","$20,000",No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,0,Shadow AI,"AI decision-making in security tools creating blind spots,Other","Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF),None at this time","Cloud misconfigurations,Zero-day exploits",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Uncertainty in defining the right skills and profile for the role",Already have a dedicated AI Security leader in place,Synthetic,CIO,Open Systems
Chief Information Officer,CIO,Male,"Milan, USA",Milan,North America,70,Yes,"10,000 - 25,000 employees",BioTech,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),"$450,000","$69,345","$2,347,598","$2,866,943","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,Cloud Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Privacy,Security Operations,Third Party Risk Management (TPRM)",84,I do not report to the Board of Directors,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",Yes,Monitoring and detection for AI-driven threats,Established and repeatable,20,Shadow AI,"Regulatory compliance violations,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"Identity/credential theft,Ransomware",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",Yes,Synthetic,CIO,Tanium
Chief Information Officer,CIO,Female,"Orlando, USA",Orlando,North America,36,Yes,"10,000 - 25,000 employees",Government,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),"$574,348","$116,914","$198,697","$889,959","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Other,Security Operations",300,I do not report to the Board of Directors,No,,,No,Corporate Indemnification Policy,No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,10,Aligning AI security with enterprise risk management frameworks,"Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"Cloud misconfigurations,Insider threats",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,Rubrik
CIO,CIO,Male,"Salt Lake City, UT, USA",Salt Lake City,North America,72,Yes,"10,000 - 25,000 employees",Broadcasting / Media,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),"$450,000",,"$794,971","$1,244,971","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",84,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,Yes,Yes,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",Yes,Workforce training and upskilling on AI risks,Developing but inconsistent,2,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,TrustArc
Chief Information Officer,CIO,Male,"Sacramento, USA",Sacramento,North America,1,No,"10,000 - 25,000 employees",Healthcare,Publicly Traded Company,Chief Information Officer,USD (U.S. Dollar),"$738,837","$120,659","$1,040,082","$1,899,578","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Third Party Risk Management (TPRM)",18,Per request,Yes,"$50,000","$50,000",No,Neither,No,Yes,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","ISO/IEC 23894 (AI Risk Management),Internal / proprietary AI risk framework,NIST AI Risk Management Framework (AI RMF)","Cloud misconfigurations,Insider threats,Mobile / BYOD threats,Third party risk attacks,Zero-day exploits",Not confident,"Location (RTO) constraints limiting hiring,Uncertainty in defining the right skills and profile for the role",I am the AI Security leader,Synthetic,CIO,Datadog
Chief Information Officer,CIO,Male,"Boston, MA, USA",Boston,North America,40,No,"10,000 - 25,000 employees",Financial Services,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),"$737,655","$282,705","$1,276,623","$2,296,983","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Privacy,Security Operations,Third Party Risk Management (TPRM)",769,I do not report to the Board of Directors,No,,,No,Not Sure,No,No,No,No,"Business Impact,Financial and/or Risk-Based Metrics",Yes,Third-party/vendor AI risk management,Developing but inconsistent,5,Shadow AI,Dependency on AI vendors with unclear security practices,Internal / proprietary AI risk framework,"API security,Insider threats",Somewhat confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Walmart
Chief Information Officer,CIO,Male,"Tulsa, OK, USA",Tulsa,North America,4,No,"10,000 - 25,000 employees",Real Estate,Publicly Traded Company,COO / President,USD (U.S. Dollar),"$659,181","$133,038","$1,504,765","$2,296,984","AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Corp IT Security / Enterprise Security,GRC,Incident Response,Other,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",453,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,Yes,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Phishing/social engineering",Very confident,Competing with salary expectations in the market,No,Synthetic,CIO,CyberArk
Chief Information Officer,CIO,Male,"Chicago, IL, USA",Chicago,North America,27,Yes,"10,000 - 25,000 employees",Internet,Publicly Traded Company,General Counsel / Chief Legal Officer,USD (U.S. Dollar),"$492,596","$114,537","$2,000,000","$2,607,133","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",68,At least quarterly,No,,,No,Neither,No,Yes,Yes,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,2,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Intellectual property theft through AI platforms","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","Insider threats,Third party risk attacks",Somewhat confident,Competing with salary expectations in the market,No,Synthetic,CIO,ASML
Chief Information Officer,CIO,Male,"Salt Lake City, UT, USA",Salt Lake City,North America,56,Yes,"10,000 - 25,000 employees",Healthcare,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),"$603,618","$121,282","$1,286,211","$2,011,111","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Security Operations,Third Party Risk Management (TPRM)",748,Per request,Yes,"$100,000","$100,000",No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Other",Yes,Monitoring and detection for AI-driven threats,Initial / ad hoc efforts,10,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","NIST AI Risk Management Framework (AI RMF),OECD AI Principles / other international guidelines","API security,Insider threats",Very confident,Competing with salary expectations in the market,I am the AI Security leader,Synthetic,CIO,MGM Resorts
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,5,No,"10,000 - 25,000 employees",Cloud Infrastructure,Publicly Traded Company,Chief Financial Officer,USD (U.S. Dollar),"$450,000","$173,938","$2,000,000","$2,623,938","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Privacy,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",511,At least quarterly,Yes,"$120,000","$120,000",No,Corporate Directors & Officers (D&O) Policy,Yes,No,No,No,"Attack Surface / Risk Assessment,Business Impact",Yes,Third-party/vendor AI risk management,Developing but inconsistent,15,Defining clear accountability/ownership for AI risk across the business,"Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms","ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","API security,Cloud misconfigurations,Identity/credential theft,Other,Ransomware",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CIO,T-Mobile
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,21,No,"10,000 - 25,000 employees",Financial Services,Publicly Traded Company,Chief Financial Officer,USD (U.S. Dollar),"$426,645","$239,383","$1,268,361","$1,934,389","AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Trust & Safety",48,At least quarterly,Yes,"$20,000","$20,000",No,Not Sure,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact,Percentage of company revenue",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Shadow AI,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Intellectual property theft through AI platforms,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Identity/credential theft,Zero-day exploits",Very confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,PayPal
Chief Information Officer,CIO,Male,"Atlanta, GA, USA",Atlanta,North America,28,Yes,"10,000 - 25,000 employees",Manufacturing,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),"$725,126","$137,333","$1,414,893","$2,277,352","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Security Operations,Third Party Risk Management (TPRM)",12,At least quarterly,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics,Percentage of company revenue",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,10,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","EU AI Act requirements (compliance-driven),None at this time","Phishing/social engineering,Ransomware",Somewhat confident,Location (RTO) constraints limiting hiring,No,Synthetic,CIO,Citigroup
CIO,CIO,Male,"New York, NY, USA",NYC Metro,North America,37,No,"10,000 - 25,000 employees",Healthcare,Publicly Traded Company,Chief Technology Officer,USD (U.S. Dollar),"$612,330","$129,920","$1,856,259","$2,598,509","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI/ML Security Engineering,Corp IT Security / Enterprise Security,GRC,Incident Response,Infrastructure Engineering / Operations,Privacy,Product Security / AppSec",141,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,Yes,Yes,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,Other,Established and repeatable,0,Shadow AI,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices",NIST AI Risk Management Framework (AI RMF),"Insider threats,Phishing/social engineering",Somewhat confident,"Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,CIO,Lam Research
Chief Information Officer,CIO,Female,"Houston, TX, USA",Houston,North America,22,Yes,1000 - 4999 employees,Healthcare,Government / Municipality,Chief Technology Officer,USD (U.S. Dollar),"$426,645",,,"$426,645","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Other,Product Security / AppSec,Security Operations",30,At least quarterly,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics,Percentage of company revenue",No,Third-party/vendor AI risk management,Established and repeatable,10,Defining clear accountability/ownership for AI risk across the business,"Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors",EU AI Act requirements (compliance-driven),"Identity/credential theft,Phishing/social engineering",Not confident,Time spent screening unqualified candidates,Already have a dedicated AI Security leader in place,Synthetic,CIO,Texas Department of Information Resources
Chief Information Officer,CIO,Male,"New York, NY, USA",NYC Metro,North America,66,Yes,1000 - 4999 employees,Cloud Security,Non-Profit,Chief Information Officer,USD (U.S. Dollar),"$478,411","$85,205",,"$563,616","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Product Security / AppSec,Third Party Risk Management (TPRM)",48,At least quarterly,Yes,"$25,000","$25,000",No,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,5,Shadow AI,Shadow AI usage bypassing security controls,None at this time,"Mobile / BYOD threats,Ransomware",Very confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,CIO,Center for Internet Security
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,6,Yes,1000 - 4999 employees,Consumer Software,Non-Profit,Chief Technology Officer,USD (U.S. Dollar),"$426,645","$120,659",,"$547,304","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Trust & Safety",270,At least quarterly,Yes,"$20,000","$20,000",No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Established and repeatable,20,Shadow AI,"Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Phishing/social engineering",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Already have a dedicated AI Security leader in place,Synthetic,CIO,NYU
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,10,No,1000 - 4999 employees,Education,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),"$574,348","$346,501","$228,716","$1,149,565","AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Third Party Risk Management (TPRM)",99,At least quarterly,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,25,Establishing regulatory compliance and auditability for AI systems,"Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms",NIST AI Risk Management Framework (AI RMF),"Insider threats,IoT/OT device vulnerabilities",Somewhat confident,"Location (RTO) constraints limiting hiring,Other",Yes,Synthetic,CIO,Gong
Chief Information Officer,CIO,Male,"Minneapolis, MN, USA",Minneapolis,North America,60,Yes,1000 - 4999 employees,Insurance,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),"$526,926","$161,023","$905,801","$1,593,750","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",43,I do not report to the Board of Directors,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",No,Third-party/vendor AI risk management,Developing but inconsistent,2,Shadow AI,"AI-generated content being used in social engineering attacks,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Identity/credential theft",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,SHI International
Chief Information Officer,CIO,Male,"Kansas City, MO, USA",Kansas City,North America,5,No,1000 - 4999 employees,Retail,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),"$693,897","$78,510","$749,121","$1,521,528","AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",36,At least semi-annually,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,1,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Phishing/social engineering,Third party risk attacks",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CIO,Outreach
Chief Information Officer,CIO,Male,"Miami, FL, USA",Miami,North America,55,No,1000 - 4999 employees,FinTech,Privately Held Company,Chief Financial Officer,USD (U.S. Dollar),"$599,345","$125,265","$1,847,189","$2,571,799","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Security Operations,Third Party Risk Management (TPRM)",5,Per request,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,No,"Attack Surface / Risk Assessment,Percentage of company revenue",No,Monitoring and detection for AI-driven threats,Established and repeatable,1,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"Other,Ransomware",Very confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",No,Synthetic,CIO,Spotnana
Chief Information Officer,CIO,Male,"San Diego, CA, USA",San Diego,North America,107,Yes,1000 - 4999 employees,Banking / Financial Services,Privately Held Company,Chief Technology Officer,USD (U.S. Dollar),"$644,013","$144,418","$1,600,168","$2,388,599","AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Incident Response,Privacy,Security Operations,Third Party Risk Management (TPRM)",2,I do not report to the Board of Directors,No,,,No,Neither,No,Yes,Yes,No,"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,6,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,Identity/credential theft,Insider threats,Third party risk attacks",Don't Know / Not applicable,"Other,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Acrisure
Chief Information Officer,CIO,Male,"Raleigh, NC, USA",Raleigh - Durham,North America,49,Yes,1000 - 4999 employees,FinTech,Privately Held Company,COO / President,USD (U.S. Dollar),"$595,068","$240,919","$682,054","$1,518,041","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",180,Per request,No,,,No,Not Sure,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms,Shadow AI usage bypassing security controls","Internal / proprietary AI risk framework,None at this time","Other,Phishing/social engineering",Not confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,CIO,Resilience Cyber Insurance
Chief Information Officer,CIO,Male,"Seattle, WA, USA",Seattle,North America,71,Yes,1000 - 4999 employees,Enterprise Software,Privately Held Company,Chief Information Officer,USD (U.S. Dollar),"$674,830","$85,205","$485,798","$1,245,833","AI Data Protection / Privacy and Security,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations",14,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,10,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors,Intellectual property theft through AI platforms,Shadow AI usage bypassing security controls",ISO/IEC 23894 (AI Risk Management),"API security,Cloud misconfigurations,Identity/credential theft,Phishing/social engineering,Ransomware",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,SalesLoft
